question_id,question,choices,correct_answer,rationale,difficulty
002dba45,"ID: 002dba45
Line  is deﬁned by 
. Line  is perpendicular to line  in the xy-plane. What is the slope of line ?
ID: 002dba45 Answer",[],,"The correct answer is 
. It’s given that line  is perpendicular to line  in the xy-plane. This means that the slope of line  is
the negative reciprocal of the slope of line . The equation of line , 
, is written in slope-intercept form
, where 
 is the slope of the line and  is the y-coordinate of the y-intercept of the line. It follows that the slope
of line  is 
. The negative reciprocal of a number is 
 divided by the number. Therefore, the negative reciprocal of
 is 
, or 
. Thus, the slope of line  is 
. Note that 3/17, .1764, .1765, and 0.176 are examples of ways to enter a
correct answer.
Question Diﬃculty: Medium
Assessment
SAT
Test
Math
Domain
Algebra
Skill
Linear equations in
two variables
Diﬃculty",
789975b7,"ID: 789975b7
A gardener buys two kinds of fertilizer. Fertilizer A contains 60% ﬁller materials by
weight and Fertilizer B contains 40% ﬁller materials by weight. Together, the
fertilizers bought by the gardener contain a total of 240 pounds of ﬁller materials.
Which equation models this relationship, where x is the number of pounds of
Fertilizer A and y is the number of pounds of Fertilizer B?","['A.', 'B.', 'C.', 'D. \nID: 789975b7 Answer', 'B. Fertilizer A\nconsists of 0.6x pounds of ﬁller materials and Fertilizer B consists of 0.4y pounds of ﬁller materials. Therefore, \nis equal to 240, not \n. Choice C is incorrect. This choice transposes the percentages of ﬁller materials for\nFertilizer A and Fertilizer B and incorrectly represents how to take the percentage of a value mathematically. Choice D is\nincorrect. This choice incorrectly represents how to take the percentage of a value mathematically. Fertilizer A consists of\n0.6x pounds of ﬁller materials, not 60x pounds of ﬁller materials, and Fertilizer B consists of 0.4y pounds of ﬁller materials,\nnot 40y pounds of ﬁller materials.\n\xa0\nQuestion Diﬃculty: Easy\nAssessment\nSAT\nTest\nMath\nDomain\nAlgebra\nSkill\nLinear equations in\ntwo variables\nDiﬃculty']",B,"Choice B is correct. Since Fertilizer A contains 60% ﬁller materials by weight, it follows that x pounds of Fertilizer A consists
of 0.6x pounds of ﬁller materials. Similarly, y pounds of Fertilizer B consists of 0.4y pounds of ﬁller materials. When x pounds
of Fertilizer A and y pounds of Fertilizer B are combined, the result is 240 pounds of ﬁller materials. Therefore, the total
amount, in pounds, of ﬁller materials in a mixture of x pounds of Fertilizer A and y pounds of Fertilizer B can be expressed as
.
Choice A is incorrect. This choice transposes the percentages of ﬁller materials for Fertilizer A and Fertilizer B. Fertilizer A
consists of 0.6x pounds of ﬁller materials and Fertilizer B consists of 0.4y pounds of ﬁller materials. Therefore, 
is equal to 240, not 
. Choice C is incorrect. This choice transposes the percentages of ﬁller materials for
Fertilizer A and Fertilizer B and incorrectly represents how to take the percentage of a value mathematically. Choice D is
incorrect. This choice incorrectly represents how to take the percentage of a value mathematically. Fertilizer A consists of
0.6x pounds of ﬁller materials, not 60x pounds of ﬁller materials, and Fertilizer B consists of 0.4y pounds of ﬁller materials,
not 40y pounds of ﬁller materials.
 
Question Diﬃculty: Easy
Assessment
SAT
Test
Math
Domain
Algebra
Skill
Linear equations in
two variables
Diﬃculty",
3008cfc3,"ID: 3008cfc3
The table gives the coordinates of two points on a line in the xy-plane. The y-intercept of the line is 
, where  and 
are constants. What is the value of ?
ID: 3008cfc3 Answer",[],33,"The correct answer is 
. It’s given in the table that the coordinates of two points on a line in the xy-plane are 
 and
. The y-intercept is another point on the line. The slope computed using any pair of points from the line will be
the same. The slope of a line, 
, between any two points, 
 and 
, on the line can be calculated using the
slope formula, 
. It follows that the slope of the line with the given points from the table, 
 and 
, is 
, which is equivalent to 
, or 
. It's given that the y-intercept of the line is 
. Substituting 
 for 
 and the coordinates of the points 
 and 
 into the slope formula yields
, which is equivalent to 
, or 
. Multiplying both sides of this equation by  yields
. Subtracting 
 from both sides of this equation yields 
. Dividing both sides of this equation by 
 yields 
. Therefore, the value of  is 
.
Question Diﬃculty: Hard
Assessment
SAT
Test
Math
Domain
Algebra
Skill
Linear equations in
two variables
Diﬃculty",
f224df07,"ID: f224df07
A cargo helicopter delivers only 100-pound packages and 120-pound packages.
For each delivery trip, the helicopter must carry at least 10 packages, and the total
weight of the packages can be at most 1,100 pounds. What is the maximum
number of 120-pound packages that the helicopter can carry per trip?","['A. 2', 'B. 4', 'C. 5', 'D. 6\nID: f224df07 Answer']",C,"Choice C is correct. Let a equal the number of 120-pound packages, and let b equal the number of 100-pound packages. It’s
given that the total weight of the packages can be at most 1,100 pounds: the inequality 
 represents
this situation. It’s also given that the helicopter must carry at least 10 packages: the inequality 
 represents this
situation. Values of a and b that satisfy these two inequalities represent the allowable numbers of 120-pound packages and
100-pound packages the helicopter can transport. To maximize the number of 120-pound packages, a, in the helicopter, the
number of 100-pound packages, b, in the helicopter needs to be minimized. Expressing b in terms of a in the second
inequality yields 
, so the minimum value of b is equal to 
. Substituting 
 for b in the ﬁrst inequality
results in 
. Using the distributive property to rewrite this inequality yields
, or 
. Subtracting 1,000 from both sides of this inequality yields
. Dividing both sides of this inequality by 20 results in 
. This means that the maximum number of 120-pound
packages that the helicopter can carry per trip is 5.
Choices A, B, and D are incorrect and may result from incorrectly creating or solving the system of inequalities.
Question Diﬃculty: Medium
Assessment
SAT
Test
Math
Domain
Algebra
Skill
Linear inequalities
in one or two
variables
Diﬃculty",
cb8f449f,"ID: cb8f449f
The system of equations above has solution (x,
y). What is the value of x ?","['A. 3', 'B.', 'C. 4', 'D. 6\nID: cb8f449f Answer']",D,"Choice D is correct. Adding the corresponding sides of the two equations eliminates y and yields 
, as shown.
If (x, y) is a solution to the system, then (x, y) satisﬁes both equations in the system and any equation derived from them.
Therefore, 
.
Choices A, B, and C are incorrect and may be the result of errors when solving the system. 
Question Diﬃculty: Medium
Assessment
SAT
Test
Math
Domain
Algebra
Skill
Systems of two
linear equations in
two variables
Diﬃculty",
88e13c8c,"ID: 88e13c8c
The total cost 
, in dollars, to lease a car for 
 months from a particular car dealership is given by
, where  is the monthly payment, in dollars. What is the total cost to lease a car when the monthly
payment is 
?","['A.', 'B.', 'C.', 'D. \nID: 88e13c8c Answer']",C,"Choice C is correct. It's given that 
 is the total cost, in dollars, to lease a car from this dealership with a monthly
payment of  dollars. Therefore, the total cost, in dollars, to lease the car when the monthly payment is 
 is represented
by the value of 
 when 
. Substituting 
 for  in the equation 
 yields
, or 
. Thus, when the monthly payment is 
, the total cost to lease a car
is 
. 
Choice A is incorrect and may result from conceptual or calculation errors.
Choice B is incorrect and may result from conceptual or calculation errors.
Choice D is incorrect and may result from conceptual or calculation errors.
Question Diﬃculty: Easy
Assessment
SAT
Test
Math
Domain
Algebra
Skill
Linear functions
Diﬃculty",
3cdbf026,"ID: 3cdbf026
The graph of the equation 
 is a line in the xy-plane, where a and k are
constants. If the line contains the points 
and 
, what is the value of
k ?","['A.', 'B.', 'C. 2', 'D. 3\nID: 3cdbf026 Answer']",A,"Choice A is correct. The value of k can be found using the slope-intercept form of a linear equation, 
, where m is
the slope and b is the y-coordinate of the y-intercept. The equation 
 can be rewritten in the form 
. One of the given points, 
, is the y-intercept. Thus, the y-coordinate of the y-intercept 
 must be equal to 
.
Multiplying both sides by k gives 
. Dividing both sides by 
 gives 
.
Choices B, C, and D are incorrect and may result from errors made rewriting the given equation. 
Question Diﬃculty: Hard
Assessment
SAT
Test
Math
Domain
Algebra
Skill
Linear equations in
two variables
Diﬃculty",
ff501705,"ID: ff501705
 
In the given system of equations,  is a constant. If the system has no solution, what is the value of ?
ID: ff501705 Answer",[],6,"The correct answer is . A system of two linear equations in two variables,  and , has no solution if the lines represented
by the equations in the xy-plane are parallel and distinct. Lines represented by equations in standard form, 
and 
, are parallel if the coeﬃcients for  and  in one equation are proportional to the corresponding
coeﬃcients in the other equation, meaning 
; and the lines are distinct if the constants are not proportional, meaning
 is not equal to 
 or 
. The ﬁrst equation in the given system is 
. Multiplying each side of this
equation by 
 yields 
. Adding 
 to each side of this equation yields 
, or
. The second equation in the given system is 
. Multiplying each side of this equation by
 yields 
. Subtracting 
 from each side of this equation yields 
. Subtracting  from
each side of this equation yields 
. Therefore, the two equations in the given system, written in standard form,
are 
 and
. As previously stated, if this system has no solution, the lines represented by the
equations in the xy-plane are parallel and distinct, meaning the proportion 
, or 
, is true and the
proportion 
 is not true. The proportion 
 is not true. Multiplying each side of the true proportion,
,  by 
 yields 
. Therefore, if the system has no solution, then the value of  is . 
Question Diﬃculty: Hard
Assessment
SAT
Test
Math
Domain
Algebra
Skill
Systems of two
linear equations in
two variables
Diﬃculty",
8c5e6702,"ID: 8c5e6702
A window repair specialist charges 
 for the ﬁrst two hours of repair plus an hourly fee for each additional hour. The total
cost for  hours of repair is 
. Which function  gives the total cost, in dollars, for  hours of repair, where 
?","['A.', 'B.', 'C.', 'D. \nID: 8c5e6702 Answer']",A,"Choice A is correct. It’s given that the window repair specialist charges 
 for the ﬁrst two hours of repair plus an hourly
fee for each additional hour. Let  represent the hourly fee for each additional hour after the ﬁrst two hours. Since it’s given
that  is the number of hours of repair, it follows that the charge generated by the hourly fee after the ﬁrst two hours can be
represented by the expression 
. Therefore, the total cost, in dollars, for  hours of repair is
. It’s given that the total cost for  hours of repair is 
. Substituting  for  and 
 for 
into the equation 
 yields 
, or 
. Subtracting 
 from
both sides of this equation yields 
. Dividing both sides of this equation by  yields 
. Substituting 
 for 
in the equation 
 yields 
, which is equivalent to
, or 
. Therefore, the total cost, in dollars, for  hours of repair is 
.
Choice B is incorrect. This function represents the total cost, in dollars, for  hours of repair where the specialist charges
, rather than 
, for the ﬁrst two hours of repair.
Choice C is incorrect. This function represents the total cost, in dollars, for  hours of repair where the specialist charges
, rather than 
, for the ﬁrst two hours of repair, and an hourly fee of 
, rather than 
, after the ﬁrst two hours.
Choice D is incorrect. This function represents the total cost, in dollars, for  hours of repair where the specialist charges
, rather than 
, for the ﬁrst two hours of repair, and an hourly fee of 
, rather than 
, after the ﬁrst two hours.
Question Diﬃculty: Hard
Assessment
SAT
Test
Math
Domain
Algebra
Skill
Linear functions
Diﬃculty",
2937ef4f,"ID: 2937ef4f
Hector used a tool called an auger to remove corn from a storage bin at a constant
rate. The bin contained 24,000 bushels of corn when Hector began to use
the auger. After 5 hours of using the auger, 19,350 bushels of corn remained in the
bin. If the auger continues to remove corn at this rate, what is the total number of
hours Hector will have been using the auger when 12,840 bushels of corn remain in
the bin?","['A. \xa0\xa03', 'B. \xa0\xa07', 'C. \xa0\xa08', 'D. 12\nID: 2937ef4f Answer']",D,"Choice D is correct. After using the auger for 5 hours, Hector had removed 24,000 – 19,350 = 4,650 bushels of corn from the
storage bin. During the 5-hour period, the auger removed corn from the bin at a constant rate of 
 bushels per
hour. Assuming the auger continues to remove corn at this rate, after x hours it will have removed 930x bushels of corn.
Because the bin contained 24,000 bushels of corn when Hector started using the auger, the equation 24,000 – 930x = 12,840
can be used to ﬁnd the number of hours, x, Hector will have been using the auger when 12,840 bushels of corn remain in the
bin. Subtracting 12,840 from both sides of this equation and adding 930x to both sides of the equation yields 11,160 = 930x.
Dividing both sides of this equation by 930 yields x = 12. Therefore, Hector will have been using the auger for 12 hours when
12,840 bushels of corn remain in the storage bin.
Choice A is incorrect. Three hours after Hector began using the auger, 24,000 – 3(930) = 21,210 bushels of corn remained,
not 12,840. Choice B is incorrect. Seven hours after Hector began using the auger, 24,000 – 7(930) = 17,490 bushels of corn
will remain, not 12,840. Choice C is incorrect. Eight hours after Hector began using the auger, 24,000 – 8(930) = 16,560
bushels of corn will remain, not 12,840.
Question Diﬃculty: Hard
Assessment
SAT
Test
Math
Domain
Algebra
Skill
Linear equations in
one variable
Diﬃculty",
