question_id,question,choices,correct_answers,rationale,difficulty
002dba45,"Line  is deﬁned by 
. Line  is perpendicular to line  in the xy-plane. What is the slope of line ?
ID: 002dba45 Answer",[],"['.1764', '.1765', '3/17']",,
789975b7,"A gardener buys two kinds of fertilizer. Fertilizer A contains 60% ﬁller materials by
weight and Fertilizer B contains 40% ﬁller materials by weight. Together, the
fertilizers bought by the gardener contain a total of 240 pounds of ﬁller materials.
Which equation models this relationship, where x is the number of pounds of
Fertilizer A and y is the number of pounds of Fertilizer B?","['A. ', 'B. ', 'C. ', 'D. ID: 789975b7 Answer', 'B. Fertilizer A']",['B'],,
3008cfc3,"The table gives the coordinates of two points on a line in the xy-plane. The y-intercept of the line is 
, where  and 
are constants. What is the value of ?
ID: 3008cfc3 Answer",[],['33'],,
f224df07,"A cargo helicopter delivers only 100-pound packages and 120-pound packages.
For each delivery trip, the helicopter must carry at least 10 packages, and the total
weight of the packages can be at most 1,100 pounds. What is the maximum
number of 120-pound packages that the helicopter can carry per trip?","['A. 2', 'B. 4', 'C. 5', 'D. 6']",['C'],,
cb8f449f,"The system of equations above has solution (x,
y). What is the value of x ?","['A. 3', 'B. ', 'C. 4', 'D. 6']",['D'],,
88e13c8c,"The total cost 
, in dollars, to lease a car for 
 months from a particular car dealership is given by
, where  is the monthly payment, in dollars. What is the total cost to lease a car when the monthly
payment is 
?","['A. ', 'B. ', 'C. ', 'D. ID: 88e13c8c Answer']",['C'],,
3cdbf026,"The graph of the equation 
 is a line in the xy-plane, where a and k are
constants. If the line contains the points 
and 
, what is the value of
k ?","['A. ', 'B. ', 'C. 2', 'D. 3']",['A'],,
ff501705,"In the given system of equations,  is a constant. If the system has no solution, what is the value of ?
ID: ff501705 Answer",[],['6'],,
8c5e6702,"A window repair specialist charges 
 for the ﬁrst two hours of repair plus an hourly fee for each additional hour. The total
cost for  hours of repair is 
. Which function  gives the total cost, in dollars, for  hours of repair, where 
?","['A. ', 'B. ', 'C. ', 'D. ID: 8c5e6702 Answer']",['A'],,
2937ef4f,"Hector used a tool called an auger to remove corn from a storage bin at a constant
rate. The bin contained 24,000 bushels of corn when Hector began to use
the auger. After 5 hours of using the auger, 19,350 bushels of corn remained in the
bin. If the auger continues to remove corn at this rate, what is the total number of
hours Hector will have been using the auger when 12,840 bushels of corn remain in
the bin?","['A. 3', 'B. 7', 'C. 8', 'D. 12']",['D'],,
548a4929,"The function  is deﬁned by 
. The graph of 
 in the xy-plane has an x-intercept at 
 and a y-
intercept at 
, where  and  are constants. What is the value of 
?","['A. ', 'B. ', 'C. ', 'D. ID: 548a4929 Answer']",['A'],,
9bbce683,"For line , the table shows three values of  and their corresponding values of . Line  is the result of translating line 
down  units in the xy-plane. What is the x-intercept of line ?","['A. ', 'B. ', 'C. ', 'D. ID: 9bbce683 Answer']",['D'],,
2b15d65f,"An economist modeled the demand Q for a certain product as a linear function of
the selling price P. The demand was 20,000 units when the selling price was $40
per unit, and the demand was 15,000 units when the selling price was $60 per unit.
Based on the model, what is the demand, in units, when the selling price is $55 per
unit?","['A. 16,250', 'B. 16,500', 'C. 16,750', 'D. 17,500']",['A'],,
